Month,Labor Force(000's),Employment(000's),Emp/PopRatio (%),Unemployed(000's),Unemp Rate(%),LFPART(%)
Jan-00,"3,641.3","3,422.7",55.3,218.6,6.0,58.9
Feb-00,"3,650.5","3,433.2",55.4,217.4,6.0,58.9
Mar-00,"3,659.6","3,442.3",55.5,217.4,5.9,59.0
Apr-00,"3,666.6","3,448.9",55.6,217.7,5.9,59.1
May-00,"3,670.2","3,453.0",55.7,217.1,5.9,59.2
Jun-00,"3,670.6","3,455.2",55.7,215.4,5.9,59.2
Jul-00,"3,669.5","3,456.8",55.7,212.8,5.8,59.1
Aug-00,"3,669.2","3,459.9",55.7,209.3,5.7,59.1
Sep-00,"3,670.7","3,465.5",55.8,205.2,5.6,59.1
Oct-00,"3,674.4","3,473.8",55.9,200.6,5.5,59.1
Nov-00,"3,679.1","3,483.1",56.0,196.0,5.3,59.1
Dec-00,"3,682.9","3,490.7",56.1,192.2,5.2,59.2
Jan-01,"3,683.9","3,494.3",56.1,189.6,5.1,59.1
Feb-01,"3,681.8","3,493.3",56.1,188.5,5.1,59.1
Mar-01,"3,677.9","3,489.1",56.0,188.8,5.1,59.0
Apr-01,"3,674.8","3,484.1",55.8,190.7,5.2,58.9
May-01,"3,674.0","3,478.9",55.7,195.2,5.3,58.8
Jun-01,"3,675.3","3,472.9",55.6,202.4,5.5,58.8
Jul-01,"3,677.8","3,465.1",55.4,212.7,5.8,58.8
Aug-01,"3,679.7","3,454.1",55.2,225.6,6.1,58.8
Sep-01,"3,680.1","3,440.0",55.0,240.0,6.5,58.8
Oct-01,"3,679.1","3,424.9",54.7,254.3,6.9,58.8
Nov-01,"3,678.1","3,411.1",54.5,267.1,7.3,58.7
Dec-01,"3,679.3","3,401.6",54.3,277.7,7.5,58.7
Jan-02,"3,683.9","3,397.9",54.2,286.0,7.8,58.8
Feb-02,"3,691.0","3,398.8",54.2,292.1,7.9,58.9
Mar-02,"3,698.2","3,402.0",54.2,296.2,8.0,59.0
Apr-02,"3,703.2","3,405.3",54.3,297.9,8.0,59.0
May-02,"3,705.0","3,407.9",54.3,297.1,8.0,59.0
Jun-02,"3,704.8","3,410.1",54.3,294.7,8.0,59.0
Jul-02,"3,704.0","3,411.6",54.3,292.4,7.9,59.0
Aug-02,"3,704.2","3,412.3",54.3,291.9,7.9,58.9
Sep-02,"3,706.5","3,411.8",54.3,294.7,8.0,58.9
Oct-02,"3,709.9","3,409.6",54.2,300.2,8.1,59.0
Nov-02,"3,712.4","3,405.8",54.1,306.6,8.3,59.0
Dec-02,"3,712.1","3,400.6",54.0,311.5,8.4,58.9
Jan-03,"3,708.7","3,394.6",53.9,314.0,8.5,58.9
Feb-03,"3,703.0","3,388.8",53.8,314.2,8.5,58.7
Mar-03,"3,696.1","3,383.5",53.6,312.6,8.5,58.6
Apr-03,"3,689.0","3,378.1",53.5,310.9,8.4,58.5
May-03,"3,682.9","3,372.6",53.4,310.3,8.4,58.3
Jun-03,"3,678.4","3,367.8",53.3,310.6,8.4,58.2
Jul-03,"3,675.4","3,364.7",53.2,310.7,8.5,58.2
Aug-03,"3,673.3","3,363.9",53.2,309.4,8.4,58.1
Sep-03,"3,671.7","3,365.3",53.2,306.4,8.3,58.0
Oct-03,"3,670.9","3,368.3",53.2,302.6,8.2,58.0
Nov-03,"3,670.8","3,371.9",53.2,298.9,8.1,57.9
Dec-03,"3,670.5","3,375.0",53.2,295.5,8.1,57.9
Jan-04,"3,669.1","3,376.8",53.2,292.3,8.0,57.8
Feb-04,"3,666.9","3,377.8",53.2,289.1,7.9,57.8
Mar-04,"3,698.1","3,412.2",53.7,285.9,7.7,58.2
Apr-04,"3,722.9","3,441.0",54.2,281.9,7.6,58.6
May-04,"3,742.0","3,465.4",54.5,276.6,7.4,58.9
Jun-04,"3,755.7","3,485.8",54.8,269.8,7.2,59.0
Jul-04,"3,764.8","3,502.7",55.0,262.1,7.0,59.1
Aug-04,"3,770.1","3,516.2",55.2,253.8,6.7,59.2
Sep-04,"3,772.3","3,526.9",55.3,245.5,6.5,59.2
Oct-04,"3,772.6","3,534.9",55.4,237.7,6.3,59.1
Nov-04,"3,772.0","3,541.1",55.5,230.9,6.1,59.1
Dec-04,"3,772.6","3,546.7",55.5,226.0,6.0,59.1
Jan-05,"3,774.9","3,552.2",55.6,222.7,5.9,59.0
Feb-05,"3,778.3","3,557.8",55.6,220.4,5.8,59.1
Mar-05,"3,781.8","3,563.5",55.7,218.3,5.8,59.1
Apr-05,"3,786.0","3,569.7",55.7,216.3,5.7,59.1
May-05,"3,791.3","3,576.3",55.8,215.0,5.7,59.1
Jun-05,"3,797.9","3,582.6",55.8,215.3,5.7,59.2
Jul-05,"3,805.6","3,587.8",55.9,217.8,5.7,59.3
