ZIPCode,Population
10001,22767
10002,79894
10003,57068
10004,3024
10005,7570
10006,2950
10007,6748
10009,61806
10010,30708
10011,52941
10012,24846
10013,26937
10014,31835
10015,0
10016,50112
10017,16278
10018,8062
10019,38752
10020,0
10021,42142
10022,29699
10023,60762
10024,59249
10025,97373
10026,38372
10027,63057
10028,46169
10029,77857
10030,29530
10031,58912
10032,59069
10033,60520
10034,42672
10035,34760
10036,24127
10037,18041
10038,20997
10039,25952
10040,45278
10041,0
10044,12050
10045,0
10048,0
10055,0
10060,0
10065,31761
10069,5523
10075,24377
10090,0
10095,0
10098,0
10099,0
10103,0
10104,0
10105,0
10106,0
10107,0
10110,1
10111,0
10112,0
10115,0
10118,0
10119,0
10120,0
10121,0
10122,0
10123,0
10128,62447
10151,0
10152,0
10153,0
10154,0
10155,0
10158,0
10161,0
10162,1252
10165,0
10166,0
10167,0
10168,0
10169,0
10170,0
10171,0
10172,0
10173,0
10174,0
10175,0
10176,0
10177,0
10178,0
10199,0
10270,0
10271,0
10278,0
10279,0
10280,8817
10281,0
10282,5903
10301,39367
10302,18043
10303,24348
10304,41864
10305,41471
10306,54888
10307,15006
10308,29805
10309,33382
10310,24719
10311,0
10312,61105
10314,87524
10451,47818
10452,75252
10453,79002
10454,38751
10455,39951
10456,91737
10457,71015
10458,76276
10459,48269
10460,58676
10461,52435
10462,76114
10463,71238
10464,4532
10465,46360
10466,69657
10467,99251
10468,72683
10469,72241
10470,14880
10471,21935
10472,69659
10473,59948
10474,12223
10475,44582
10803,12523
11001,27156
11004,14045
11005,2123
11040,40799
11101,25317
11102,35027
11103,38257
11104,26555
11105,36816
11106,38633
11109,4337
11201,56488
11203,77011
11204,80349
11205,43320
11206,83180
11207,93465
11208,92262
11209,72582
11210,67042
11211,94681
11212,87751
11213,62756
11214,88297
11215,70156
11216,54440
11217,38567
11218,75132
11219,98719
11220,101715
11221,83773
11222,34580
11223,76651
11224,42698
11225,59613
11226,98299
11228,46059
11229,81351
11230,87064
11231,34605
11232,29452
11233,69637
11234,95610
11235,75622
11236,97714
11237,55258
11238,51959
11239,12943
11241,0
11242,0
11243,0
11249,0
11251,0
11252,0
11256,0
11351,0
11354,56433
11355,83799
11356,23800
11357,40588
11358,37634
11359,0
11360,19916
11361,30352
11362,17897
11363,7625
11364,34902
11365,43138
11366,13146
11367,41582
11368,110385
11369,39862
11370,36271
11371,0
11372,63202
11373,100713
11374,41792
11375,69652
11377,88939
11378,30854
11379,35725
11385,100132
11411,19177
11412,37690
11413,41689
11414,28742
11415,19020
11416,25973
11417,31556
11418,36751
11419,48370
11420,50162
11421,42745
11422,32589
11423,32053
11426,19348
11427,23460
11428,20461
11429,27506
11430,171
11432,62395
11433,37927
11434,65255
11435,54523
11436,18609
11691,62577
11692,17970
11693,11338
11694,21507
11695,0
11697,4078
